id1,id2,val
53310,95988,1
53777,69557,1
53355,53777,1
53777,80233,1
1589,53777,1
53699,53777,1
53355,69557,1
69557,80233,1
1589,69557,1
53699,69557,1
53355,80233,1
1589,53355,1
53355,53699,1
1589,80233,1
53699,80233,1
1589,53699,1
53820,68136,1
69557,171688,1
55743,69557,1
55645,69557,0
69557,178297,0
80233,171688,0
55743,80233,0
55645,80233,0
80233,178297,0
55743,171688,1
55645,171688,0
171688,178297,0
53777,171688,0
55645,55743,0
55743,178297,0
53777,55743,0
55645,178297,0
53777,55645,0
53777,178297,0
99941,108521,1
1589,174808,1
1589,64443,1
53777,53790,1
53777,57299,1
53777,235597,1
53392,53777,1
53777,68136,1
53648,53777,1
53777,266333,1
53790,57299,1
53790,69557,1
53790,235597,1
53392,53790,1
53790,68136,1
53648,53790,1
53790,266333,1
57299,69557,1
57299,235597,1
53392,57299,1
57299,68136,1
53648,57299,1
57299,266333,1
69557,235597,1
53392,69557,1
68136,69557,1
53648,69557,1
69557,266333,1
53392,235597,1
68136,235597,1
53648,235597,1
235597,266333,1
53392,68136,1
53392,53648,1
53392,266333,1
53648,68136,1
68136,266333,1
53648,266333,1
53517,125110,-1
53699,53790,1
53790,57536,1
53699,266333,1
53699,57536,1
57536,266333,1
3150,53790,1
53564,53790,1
53355,53790,1
597,53790,1
53790,175859,1
53337,53790,1
3150,266333,1
53564,266333,1
53355,266333,1
597,266333,1
175859,266333,1
53337,266333,1
3150,53648,1
53564,53648,1
53355,53648,1
597,53648,1
53648,175859,1
53648,57536,1
53337,53648,1
3150,53564,1
3150,53355,1
597,3150,1
3150,175859,1
3150,57536,1
3150,53337,1
53355,53564,1
597,53564,1
53564,175859,1
53564,57536,1
53337,53564,1
597,53355,1
53355,175859,1
53355,57536,1
53337,53355,1
597,175859,1
597,57536,1
597,53337,1
57536,175859,1
53337,175859,1
53337,57536,1
1503,6166,1
1503,56823,-1
1503,2970,-1
1503,95988,0
6166,56823,0
2970,6166,0
6166,95988,0
2970,56823,1
56823,95988,1
2970,95988,0
6166,63581,1
56823,63581,1
2970,63581,1
6166,53380,1
23883,99941,1
61857,99941,1
23883,61857,1
515,78399,1
80233,171416,1
53699,171416,1
53777,171416,1
5351,266333,1
1857,53820,-1
53820,62589,-1
53251,53820,-1
53648,53820,1
515,53820,-1
53820,57299,1
53564,53820,0
53820,177649,0
53820,80233,1
53820,84637,-1
53820,65118,-1
53820,84066,1
53820,72620,1
53820,56143,-1
53820,56894,-1
1857,62589,1
1857,53251,1
1857,53648,-1
515,1857,1
1857,57299,-1
1857,53564,0
1857,177649,0
1857,80233,-1
1857,84637,1
1857,65118,1
1857,84066,-1
1857,72620,-1
1857,56143,1
1857,56894,1
53251,62589,1
53648,62589,-1
515,62589,0
57299,62589,-1
53564,62589,0
62589,177649,0
