id1,id2,val
56246,81475,1
55430,56246,1
260,56246,1
218,56246,1
55430,81475,1
260,81475,1
218,81475,1
260,55430,1
218,55430,1
218,260,1
53392,82536,0
53392,55743,1
53392,64888,1
55743,82536,-1
64888,82536,-1
55743,64888,1
2261,53392,1
570,53392,-1
53392,56246,-1
29141,53392,-1
2261,64888,1
570,64888,1
56246,64888,-1
29141,64888,-1
570,2261,-1
2261,56246,-1
2261,29141,-1
570,56246,1
570,29141,1
29141,56246,1
82536,155897,1
53357,82536,1
80233,82536,1
55430,82536,1
53357,155897,1
53392,155897,0
80233,155897,1
55430,155897,1
53357,53392,0
53357,80233,1
53357,55430,1
53392,80233,1
53392,55430,0
55430,80233,1
570,2970,1
570,125110,1
2970,125110,1
570,53564,0
515,570,0
570,80233,0
570,53648,-1
2970,53564,1
515,53564,-1
53564,80233,-1
53564,53648,-1
515,2970,-1
2970,80233,0
2970,53648,-1
515,80233,1
515,53648,1
53648,80233,1
95988,125110,1
95988,267335,-1
53197,95988,1
1503,95988,1
125110,267335,-1
53197,125110,1
1503,125110,1
53197,267335,0
1503,267335,-1
1503,53197,1
218,29141,1
218,57944,1
218,95988,1
29141,57944,1
29141,95988,1
57944,95988,1
53648,58739,1
1503,58739,1
296,58739,1
296,1503,1
53197,156637,1
3019,112303,1
55430,112303,0
56332,112303,-1
112303,125110,1
3019,55430,-1
3019,56332,-1
3019,125110,1
55430,56332,-1
55430,125110,1
56332,125110,-1
55430,57944,1
155897,156637,1
55948,156637,1
55948,155897,1
53197,55743,1
597,55743,-1
597,53197,-1
57049,264561,1
597,264561,-1
264561,267335,1
110015,264561,-1
76637,264561,1
56120,264561,-1
205703,264561,1
101333,264561,-1
56246,264561,-1
240715,264561,0
597,267335,-1
597,110015,1
597,76637,-1
597,56120,1
597,205703,0
597,101333,1
597,56246,1
597,240715,1
110015,267335,-1
76637,267335,1
56120,267335,-1
205703,267335,1
101333,267335,0
56246,267335,-1
240715,267335,0
76637,110015,-1
56120,110015,0
110015,205703,-1
101333,110015,1
56246,110015,1
110015,240715,1
56120,76637,-1
76637,205703,1
76637,101333,-1
56246,76637,-1
76637,240715,0
56120,205703,-1
56120,101333,0
56120,56246,0
56120,240715,0
101333,205703,-1
56246,205703,-1
205703,240715,0
56246,101333,1
101333,240715,1
56246,240715,0
16,264561,-1
53949,264561,-1
53517,264561,-1
16,597,1
597,53949,1
597,53517,1
16,53949,1
16,53517,1
16,101333,1
53517,53949,1
53949,101333,0
53517,101333,0
3804,56332,1
218,155897,1
53564,155897,1
57944,155897,1
82,155897,1
155897,194648,1
11346,155897,1
155897,218343,1
218,53564,1
82,218,1
218,194648,1
218,11346,1
218,218343,1
53564,57944,1
82,53564,1
53564,194648,1
11346,53564,1
53564,218343,1
82,57944,1
57944,194648,1
11346,57944,1
57944,218343,1
82,194648,1
82,11346,1
82,218343,1
11346,194648,1
194648,218343,1
11346,218343,1
3019,264561,1
124241,264561,1
129580,264561,-1
86216,264561,1
6862,264561,1
239070,264561,-1
55430,264561,-1
156424,264561,1
16,3019,-1
16,76637,-1
16,205703,-1
16,267335,-1
16,124241,-1
16,129580,1
16,86216,0
16,6862,0
